title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
The Shawshank Redemption,1994,142,Drama,9.3,"28,341,469.00",Frank Darabont,Tim Robbins,1084,"414,235,635.00","23,013,091.00","25,000,000.00",9/23/1994,9,Fall
The Dark Knight,2008,152,Action,9,"534,858,444.00",Christopher Nolan,Christian Bale,53,"5,869,521,575.00","150,500,553.00","185,000,000.00",7/11/2008,7,Summer
The Godfather: Part II,1974,202,Crime,9,"57,300,000.00",Francis Ford Coppola,Al Pacino,203,"2,454,775,881.00","55,790,361.00","13,000,000.00",12/11/1974,12,Winter
The Lord of the Rings: The Return of the King,2003,201,Action,8.9,"377,845,905.00",Peter Jackson,Elijah Wood,191,"2,523,777,553.00","109,729,459.00","94,000,000.00",12/17/2003,12,Winter
Pulp Fiction,1994,154,Crime,8.9,"107,928,762.00",Quentin Tarantino,John Travolta,113,"3,998,729,052.00","71,405,876.00","8,000,000.00",9/10/1994,9,Fall
Inception,2010,148,Action,8.8,"292,576,195.00",Christopher Nolan,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","160,000,000.00",7/16/2010,7,Summer
Fight Club,1999,139,Drama,8.8,"37,030,102.00",David Fincher,Brad Pitt,35,"6,922,963,379.00","150,499,204.00","65,000,000.00",10/15/1999,10,Fall
The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,"315,544,750.00",Peter Jackson,Elijah Wood,191,"2,523,777,553.00","109,729,459.00","93,000,000.00",12/19/2001,12,Winter
Forrest Gump,1994,142,Drama,8.8,"330,252,182.00",Robert Zemeckis,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","55,000,000.00",7/6/1994,7,Summer
The Lord of the Rings: The Two Towers,2002,179,Action,8.7,"342,551,365.00",Peter Jackson,Elijah Wood,191,"2,523,777,553.00","109,729,459.00","94,000,000.00",12/18/2002,12,Winter
The Matrix,1999,136,Action,8.7,"171,479,930.00",Lana Wachowski,Keanu Reeves,67,"5,192,902,178.00","103,858,044.00","65,000,000.00",3/31/1999,3,Spring
Goodfellas,1990,146,Biography,8.7,"46,836,394.00",Martin Scorsese,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","25,000,000.00",9/19/1990,9,Fall
Interstellar,2014,169,Adventure,8.6,"188,020,017.00",Christopher Nolan,Matthew McConaughey,142,"3,350,536,964.00","108,081,838.00","165,000,000.00",11/5/2014,11,Fall
Saving Private Ryan,1998,169,Drama,8.6,"216,540,909.00",Steven Spielberg,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","65,000,000.00",7/24/1998,7,Summer
The Green Mile,1999,189,Crime,8.6,"136,801,374.00",Frank Darabont,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","60,000,000.00",12/10/1999,12,Winter
Se7en,1995,127,Crime,8.6,"100,125,643.00",David Fincher,Morgan Freeman,79,"4,811,640,108.00","96,232,802.00","30,000,000.00",9/22/1995,9,Fall
The Silence of the Lambs,1991,118,Crime,8.6,"130,742,922.00",Jonathan Demme,Jodie Foster,317,"1,755,624,550.00","70,224,982.00","20,000,000.00",2/14/1991,2,Winter
Joker,2019,122,Crime,8.5,"335,451,311.00",Todd Phillips,Joaquin Phoenix,269,"1,979,971,962.00","104,209,051.00","55,000,000.00",10/2/2019,10,Fall
The Prestige,2006,130,Drama,8.5,"53,089,891.00",Christopher Nolan,Christian Bale,53,"5,869,521,575.00","150,500,553.00","40,000,000.00",10/20/2006,10,Fall
The Departed,2006,151,Crime,8.5,"132,384,315.00",Martin Scorsese,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","90,000,000.00",10/6/2006,10,Fall
The Pianist,2002,150,Biography,8.5,"32,572,577.00",Roman Polanski,Adrien Brody,642,"865,925,380.00","30,925,906.00","35,000,000.00",12/27/2002,12,Winter
Gladiator,2000,155,Action,8.5,"187,705,427.00",Ridley Scott,Russell Crowe,100,"4,199,997,044.00","97,674,350.00","103,000,000.00",5/4/2000,5,Spring
American History X,1998,119,Drama,8.5,"6,719,864.00",Tony Kaye,Edward Norton,368,"1,525,228,133.00","84,734,896.00","10,000,000.00",10/30/1998,10,Fall
